danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,cluster
0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,0q75NwOoFiARAVp4EXU4Bs,275080,4,10
0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,593W4qZOwwdqF6YnimJjL6,266080,4,3
0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,6gU9OKjOE7ghfEd55oRO57,272187,3,4
0.543,0.644,1,-5.952,1,0.333,0.113,0,0.0733,0.706,97.41,5wJL4o7k8m02m6ZM9KT0ir,227147,4,7
0.824,0.733,1,-5.474,1,0.0613,0.0362,0,0.325,0.395,97.972,7FYH5AW3bVfZHJIQpq3UOA,284387,4,10
0.864,0.689,2,-4.508,1,0.0711,0.0569,0,0.0678,0.712,142.087,5lXioC6UVCPpMOna3tPTUl,213732,4,2
0.747,0.701,2,-4.902,1,0.0429,0.108,0,0.0712,0.589,100.012,5UJshy5HDHdNEVqlJwzsQB,228300,4,2
0.78,0.745,7,-3.97,1,0.145,0.0559,0,0.0595,0.862,94.026,5HDPtsnyb3maFmPL8LLUTG,189280,4,2
0.845,0.561,1,-5.253,0,0.0778,0.211,3.49E-06,0.0383,0.811,109.974,6wmAHw1szh5RCKSRjiXhPe,200853,4,3
0.472,0.448,6,-7.272,0,0.326,0.113,0,0.0914,0.636,166.077,2ZltjIqztEpZtafc8w0I9t,234215,4,7
0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,2M9ULmQwTaTGmAdXaXpfz5,211160,4,0
0.611,0.867,1,-5.298,1,0.0896,0.11,0.000105,0.346,0.336,140.032,7BKUWh5sdtdS17crohRe4L,331267,4,6
0.905,0.884,0,-4.076,1,0.236,0.111,8.31E-05,0.107,0.588,135.048,6X5OFBbrsHRsyO1zP7udgr,186027,4,2
0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,4cgjA7B4fJBHyB9Ya2bu0t,246040,4,9
0.741,0.696,1,-5.341,1,0.0455,0.021,0,0.0921,0.86,134.032,64TkpV7m7f09JY7K436pju,206697,4,2
0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.979,1OAh8uOEOvTDqkKFsKksCi,204173,4,3
