danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,4
0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,181812,4
0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4
0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,252262,4
0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,219333,4
0.733,0.678,6,-7.771,1,0.438,0.121,0.0,0.344,0.841,175.985,142000,4
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
0.876,0.519,11,-6.531,1,0.143,0.202,0.0,0.108,0.158,94.981,175230,4
0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4
0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4
0.783,0.452,5,-8.698,0,0.0542,0.245,0.0,0.195,0.741,130.122,121846,4
0.825,0.572,6,-6.067,0,0.0864,0.0079,0.0,0.113,0.568,141.991,175954,4
0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,173948,4
0.798,0.456,0,-6.618,0,0.17,0.101,1.89e-05,0.106,0.414,132.137,147273,4
0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1
0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4
0.667,0.581,0,-5.164,0,0.323,0.0428,0.0,0.183,0.368,110.953,230693,4
0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,129882,4
0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,190288,4
0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093,4
0.713,0.615,5,-8.13,0,0.0911,0.145,0.0,0.0779,0.848,169.959,124807,4
0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
0.925,0.807,1,-6.064,1,0.226,0.00507,0.0,0.178,0.875,114.99,229565,4
0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.375,125.978,179405,4
0.671,0.833,5,-5.152,0,0.395,0.0825,0.0,0.0726,0.702,79.351,233278,4
0.925,0.322,11,-9.8,0,0.112,0.103,0.0,0.137,0.712,129.957,170233,4
0.642,0.782,5,-3.395,0,0.0477,0.381,0.0,0.108,0.396,162.005,195053,4
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4
0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4
0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,105.997,231547,4
0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
0.883,0.808,1,-3.158,0,0.182,0.0313,0.0,0.207,0.806,119.01,232065,4
0.943,0.443,7,-10.098,0,0.138,0.188,0.00225,0.282,0.621,109.908,183307,4
0.764,0.475,0,-12.618,1,0.114,0.345,0.0,0.14,0.34,129.974,243270,4
0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,184490,4
0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4
0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4
0.842,0.597,2,-6.336,1,0.0627,0.00252,0.0,0.124,0.298,145.992,215307,4
0.904,0.518,2,-5.32,1,0.183,0.0305,0.0,0.325,0.188,137.996,303077,4
0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,189487,4
0.901,0.522,2,-8.304,1,0.33,0.0114,0.0,0.259,0.329,104.053,127947,4
0.867,0.744,2,-5.171,1,0.227,0.268,0.0,0.0713,0.645,84.005,173288,4
0.723,0.654,0,-6.82,1,0.298,0.384,0.0,0.384,0.675,149.949,252240,4
0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,226653,4
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4
0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,129264,4
0.808,0.617,10,-9.32,0,0.442,0.113,0.0,0.734,0.632,149.962,166400,4
0.664,0.704,8,-6.859,0,0.0974,0.0233,0.0,0.112,0.633,147.067,196336,4
0.793,0.366,7,-10.051,1,0.136,0.0214,0.0,0.0964,0.278,122.991,159522,4
0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,180380,4
0.682,0.559,0,-5.545,1,0.127,0.174,0.0,0.344,0.137,202.015,192471,4
0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4
0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,190557,4
0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4
0.766,0.606,9,-6.064,1,0.456,0.00266,0.0,0.166,0.352,160.223,140000,4
0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
0.894,0.511,2,-4.768,1,0.421,0.0251,0.0,0.14,0.567,120.077,176632,4
