danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,275080,4,10
0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,266080,4,3
0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,272187,3,4
0.543,0.644,1,-5.952,1,0.333,0.113,0,0.0733,0.706,97.41,227147,4,7
0.824,0.733,1,-5.474,1,0.0613,0.0362,0,0.325,0.395,97.972,284387,4,10
0.864,0.689,2,-4.508,1,0.0711,0.0569,0,0.0678,0.712,142.087,213732,4,2
0.747,0.701,2,-4.902,1,0.0429,0.108,0,0.0712,0.589,100.012,228300,4,2
0.78,0.745,7,-3.97,1,0.145,0.0559,0,0.0595,0.862,94.026,189280,4,2
0.845,0.561,1,-5.253,0,0.0778,0.211,3.49E-06,0.0383,0.811,109.974,200853,4,3
0.472,0.448,6,-7.272,0,0.326,0.113,0,0.0914,0.636,166.077,234215,4,7
0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,211160,4,0
0.611,0.867,1,-5.298,1,0.0896,0.11,0.000105,0.346,0.336,140.032,331267,4,6
0.905,0.884,0,-4.076,1,0.236,0.111,8.31E-05,0.107,0.588,135.048,186027,4,2
0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,246040,4,9
0.741,0.696,1,-5.341,1,0.0455,0.021,0,0.0921,0.86,134.032,206697,4,2
0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.979,204173,4,3
0.664,0.845,4,-6.115,0,0.0461,0.181,0,0.267,0.357,96.005,211253,4,0
0.884,0.347,8,-8.227,0,0.35,0.015,7.00E-06,0.0871,0.376,75.016,220307,4,0
0.585,0.52,5,-6.136,0,0.0712,0.124,7.01E-05,0.131,0.129,159.801,218147,4,0
0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,229093,4,6
0.683,0.53,5,-4.918,0,0.142,0.207,0,0.394,0.645,75.016,190428,4,0
0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,185587,4,1
0.601,0.843,0,-4.87,1,0.0593,0.000704,5.27E-05,0.0681,0.534,128.002,227987,4,6
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,177000,4,0
0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,326933,4,10
0.736,0.493,10,-7.224,1,0.0592,0.265,0,0.247,0.364,141.997,189296,4,10
0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4,10
0.652,0.877,1,-2.986,1,0.0465,0.0227,0,0.0789,0.486,118.491,200107,4,2
0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4,2
0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4,9
0.762,0.576,1,-4.951,0,0.0829,0.0556,0,0.0866,0.316,142.096,221178,4,0
0.775,0.613,3,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,208787,4,3
0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,185947,4,7
0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,202496,4,6
0.667,0.954,2,-3.462,1,0.0817,0.0296,0,0.331,0.807,114.03,175093,4,2
0.664,0.785,8,-4.985,1,0.0688,0.0166,0,0.0496,0.688,103.91,180373,4,2
0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,169801,4,10
0.677,0.642,1,-8.308,1,0.195,0.0409,0,0.189,0.62,85.059,218480,4,2
0.731,0.867,11,-5.881,1,0.032,0.0395,0,0.0861,0.776,104.019,200373,4,2
0.874,0.497,6,-5.484,1,0.0562,0.22,0,0.0761,0.542,106.023,204502,4,10
0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4,2
0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880,4,6
0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24E-05,0.324,0.937,116.017,178560,4,3
0.717,0.804,7,-5.257,1,0.326,0.279,0,0.527,0.362,133.012,211128,4,1
0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,228347,4,6
0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,234560,4,6
0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,194347,4,3
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92E-05,0.0535,0.542,122.668,267080,4,3
0.63,0.5,1,-8.755,0,0.0611,0.611,4.04E-05,0.114,0.315,144.871,245172,4,9
0.717,0.583,1,-5.008,1,0.146,0.506,0,0.0821,0.816,139.76,252933,4,2
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,3
0.656,0.741,11,-4.998,0,0.18,0.0847,0,0.111,0.882,154.937,212129,4,3
0.8,0.795,6,-5.835,1,0.0626,0.131,9.02E-05,0.221,0.528,106.031,227813,4,2
0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,211200,4,2
0.462,0.538,0,-5.527,1,0.059,0.0137,0,0.429,0.405,139.256,203507,4,6
0.71,0.47,1,-9.33,0,0.142,0.154,0,0.643,0.581,80.027,180675,4,1
0.83,0.857,8,-4.194,0,0.152,0.262,0,0.413,0.607,137.982,240747,4,3
0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4,10
0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,210091,4,0
0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875,194907,4,3
0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,209269,4,3
0.832,0.391,8,-8.504,1,0.0628,0.0564,0,0.224,0.436,104.961,238800,4,10
0.828,0.487,6,-6.142,0,0.0343,0.247,1.86E-05,0.136,0.761,85.027,280160,4,0
0.766,0.64,0,-8.899,1,0.0345,0.051,0,0.237,0.67,100.044,165600,4,2
0.646,0.756,9,-9.017,0,0.488,0.393,3.00E-05,0.202,0.602,193.88,169267,4,7
0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,3
0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,151667,4,2
0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,238600,4,0
0.55,0.611,3,-10.657,1,0.0443,0.0392,0,0.0631,0.626,168.512,290960,4,6
0.576,0.793,3,-4.016,0,0.0294,0.025,0,0.155,0.257,111.965,240720,4,6
0.645,0.676,4,-5.281,0,0.0279,0.0174,0,0.181,0.167,112.035,236120,4,0
0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4,6
0.497,0.97,10,-4.851,0,0.0836,9.04E-05,0.000674,0.101,0.689,138.081,197200,4,3
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,242373,4,0
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4,10
0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,250907,4,9
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4,6
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,6
0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,282160,4,6
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71E-06,0.091,0.781,85.064,181533,4,2
0.423,0.714,11,-8.295,1,0.045,0.00113,6.28E-06,0.0855,0.593,110.017,227250,4,6
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,148360,4,6
0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,213107,4,2
0.465,0.954,10,-4.251,1,0.044,0.000346,5.38E-06,0.573,0.458,143.85,193653,4,1
0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,238880,4,6
0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,161920,4,2
0.225,0.948,9,-2.945,1,0.136,0.00718,0,0.25,0.239,179.634,188187,4,6
0.685,0.803,2,-4.251,1,0.156,0.0601,0,0.546,0.799,107.005,205280,4,1
0.58,0.702,4,-5.565,1,0.0337,0.0466,3.20E-06,0.536,0.299,105.076,208960,4,1
0.392,0.964,10,-4.441,0,0.0644,7.13E-05,0.0387,0.106,0.269,167.024,200547,4,6
0.794,0.811,6,-8.966,0,0.038,0.0426,1.07E-06,0.101,0.862,116.047,248413,4,3
